@RELATION svm_screams_nonscream
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {explosion,non_explosion}

@DATA
0.003129,0.060192,3.200235,0.038497,0.098440,0.012573,0.007389,0.005800,-40.571393,2.984000,0.233359,0.440123,0.186750,0.173305,0.065961,0.133908,0.038770,0.042916,0.044617,0.004492,-0.054697,0.001986,0.000099,0.034964,0.000794,0.003011,0.000371,0.025617,0.000034,0.000303,0.001467,0.144296,0.000084,0.046164,-0.000150,-0.014171,0.000301,-0.001807,-0.003152,-0.001392,-0.000000,-0.000300,-1.571699,-0.061220,-0.000291,-0.006664,0.004101,-0.000544,-0.002316,-0.005455,0.001468,0.002885,-0.004039,-0.002920,0.004749,-0.000016,-0.000023,-0.000210,-0.000046,-0.000088,-0.000034,-0.000261,-0.000008,-0.000013,-0.000048,0.000350,-0.000010,0.000112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.010200,0.027637,3.170574,0.059009,0.121970,0.051967,0.006217,0.016188,-54.594421,2.204700,0.252252,0.337186,0.075498,0.207436,0.190342,0.165594,0.059792,0.098080,0.135445,0.059842,-0.028957,0.002486,0.000456,0.024420,0.002045,0.009845,0.001173,0.024660,0.000293,0.001084,0.008398,0.134223,0.001702,0.041373,-0.000438,-0.010587,0.000140,-0.001850,-0.002457,-0.005734,0.000000,-0.000906,-1.007658,-0.028904,-0.002262,-0.007164,-0.001035,-0.002647,-0.004798,-0.001226,0.001913,0.000348,-0.003223,-0.001477,0.003416,-0.000079,-0.000028,-0.001122,-0.000109,-0.000481,-0.000044,-0.000809,-0.000011,-0.000055,-0.000504,0.001730,-0.000017,0.000227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.014835,0.032138,2.973012,0.077497,0.149882,0.080303,0.015711,0.013544,-32.546085,2.953031,-0.039518,0.443165,0.048383,0.310069,0.096348,0.109773,0.079764,0.073308,0.053352,0.071178,0.060278,0.002186,0.000322,0.033363,0.001014,0.003105,0.000977,0.129933,0.000370,0.001109,0.002636,0.103363,0.000379,0.056851,-0.000545,-0.002049,0.000895,-0.001159,-0.001262,-0.002823,0.000000,-0.000382,-0.174402,0.003494,0.002409,0.001055,0.000634,-0.000125,-0.001301,-0.000633,-0.000768,0.000162,-0.000176,0.000588,-0.000284,-0.000016,-0.000001,-0.000349,-0.000021,-0.000022,-0.000008,-0.000205,-0.000004,-0.000019,-0.000054,0.000386,-0.000004,0.000093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.007927,0.024222,3.042557,0.058164,0.126934,0.044006,0.022786,0.008899,-35.758466,3.049410,0.338735,0.516854,0.273575,0.147826,0.050338,0.127215,0.044142,0.045177,0.048827,0.057692,0.035091,0.001961,0.000269,0.036597,0.001080,0.004013,0.000842,0.069091,0.000138,0.000485,0.002272,0.125292,0.000327,0.049563,-0.000214,-0.001270,0.000814,-0.000738,-0.000932,-0.001887,0.000000,-0.000268,-0.313709,-0.008388,-0.000261,-0.001239,-0.001196,-0.001400,0.000573,-0.000794,0.000734,-0.000370,-0.000566,-0.000143,-0.000876,-0.000012,-0.000006,-0.000163,-0.000010,-0.000070,-0.000017,-0.000918,-0.000006,-0.000006,-0.000057,0.000523,-0.000004,-0.000064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.013573,0.005362,3.110087,0.071781,0.145847,0.100828,0.007671,0.016884,-35.186232,2.576574,-0.087209,0.570749,0.225607,0.276401,0.035505,0.152779,0.068436,0.003145,0.040406,0.081609,0.032839,0.002038,0.000705,0.053327,0.001957,0.005191,0.001492,0.051322,0.000324,0.001102,0.003444,0.118873,0.000663,0.048647,-0.000088,-0.001283,0.000422,-0.000555,-0.000764,-0.000996,0.000000,-0.000070,-0.275234,-0.006935,0.000990,-0.001600,-0.000680,-0.002005,-0.000724,-0.000317,-0.000106,-0.000294,-0.000986,-0.001312,-0.000117,-0.000003,-0.000002,-0.000562,-0.000009,-0.000057,-0.000007,-0.000857,-0.000010,-0.000002,-0.000016,0.000559,-0.000005,-0.000104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.030499,0.026497,3.042800,0.130438,0.209383,0.176264,0.010088,0.027438,-32.102662,2.482002,0.387411,0.630636,0.218462,0.266549,0.203699,0.130878,0.127195,0.116179,0.028596,0.045083,0.002977,0.004901,0.000489,0.072849,0.002735,0.017753,0.001174,0.071321,0.000303,0.000998,0.012135,0.095245,0.000731,0.044466,-0.000555,-0.002167,0.000588,-0.001324,-0.001081,-0.003718,0.000000,-0.000469,-0.179787,-0.004491,-0.005393,-0.003427,-0.001062,0.001672,-0.002739,-0.002275,0.000015,-0.000831,-0.001113,0.000373,0.001166,-0.000021,-0.000009,-0.000498,-0.000023,-0.000053,-0.000013,-0.000365,-0.000005,-0.000012,-0.000164,0.000457,-0.000004,0.000084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.033352,0.051711,3.122849,0.131041,0.206195,0.223120,0.011892,0.033121,-31.359592,2.387958,0.335041,0.292614,0.236023,0.176047,0.053007,0.076180,0.062206,0.104932,0.067339,0.022916,-0.009832,0.004351,0.000619,0.031333,0.002135,0.005556,0.001451,0.070427,0.000368,0.001536,0.005983,0.114987,0.000990,0.045397,-0.000164,-0.004965,0.000270,-0.001216,-0.001031,-0.001235,0.000003,-0.000034,-0.136528,0.002779,-0.000168,-0.004050,0.000876,0.000237,-0.001911,0.000884,0.000158,0.001112,0.000399,-0.000342,-0.000595,-0.000004,-0.000001,-0.000073,-0.000008,-0.000032,-0.000005,-0.000145,-0.000001,-0.000001,-0.000004,0.000127,-0.000001,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.015369,0.009860,3.108332,0.073767,0.147140,0.092036,0.008981,0.014767,-36.756907,2.608160,0.252732,0.515829,0.239298,0.275944,0.130056,0.122119,0.068889,0.058970,0.058303,0.071228,0.020271,0.002565,0.000385,0.041926,0.001542,0.006370,0.000940,0.048857,0.000235,0.000878,0.005814,0.123920,0.000530,0.046203,-0.000217,-0.000583,0.001214,-0.000938,-0.001206,-0.001230,0.000000,-0.000078,-0.342361,-0.009233,-0.001221,-0.003290,-0.000629,-0.000565,-0.002335,-0.001518,-0.000812,-0.000948,-0.000577,0.000064,-0.000468,-0.000004,-0.000003,-0.000161,-0.000007,-0.000021,-0.000006,-0.000082,-0.000002,-0.000003,-0.000032,0.000170,-0.000001,0.000048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.017110,0.030580,3.018513,0.075998,0.139655,0.111387,0.018632,0.019790,-34.564048,3.016710,-0.910690,0.494277,0.268609,0.027281,0.139098,0.113595,-0.034890,0.131655,0.096586,0.059024,0.028746,0.002557,0.000686,0.042981,0.002397,0.005345,0.001801,0.110255,0.000533,0.001283,0.003678,0.102101,0.000750,0.052821,-0.000113,-0.003309,0.000164,-0.000956,-0.001483,-0.000955,0.000000,-0.000113,-0.503527,-0.014794,-0.003395,-0.004880,-0.001684,0.000466,-0.000957,-0.002044,-0.000625,-0.002349,-0.000408,0.001434,0.000492,-0.000030,-0.000004,-0.000312,-0.000006,-0.000110,-0.000007,-0.000951,-0.000001,-0.000001,-0.000008,0.000560,-0.000001,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
0.009985,0.021303,2.843284,0.086093,0.174896,0.052371,0.039664,0.015284,-38.129184,3.096002,0.483164,0.613830,0.289067,0.295204,0.158399,0.171257,0.087160,0.110928,0.058081,0.066184,0.036062,0.002932,0.000354,0.062907,0.001794,0.008444,0.001295,0.152167,0.000160,0.000760,0.004314,0.085509,0.000474,0.057271,-0.000209,-0.001646,0.000050,-0.000530,-0.000562,-0.003024,0.000037,-0.000501,-0.197496,-0.004470,0.000585,-0.000181,-0.000309,-0.000500,0.000141,-0.000584,0.000090,-0.000331,-0.000296,0.000263,-0.000120,-0.000023,-0.000018,-0.000094,-0.000029,-0.000038,-0.000025,-0.000093,-0.000010,-0.000009,-0.000069,0.000331,-0.000035,0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,explosion
