@RELATION svm_screams_nonscream
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {screams,non_scream}

@DATA
0.195338,0.033857,3.088132,0.305628,0.223372,1.464558,0.007181,0.298667,-29.690226,-0.978541,-0.248979,0.460017,0.114464,0.136517,0.078069,-0.036176,-0.133285,0.326825,-0.025945,-0.010086,-0.003938,0.003693,0.001561,0.029881,0.003937,0.011788,0.002515,0.073900,0.003029,0.008985,0.009807,0.012161,0.001268,0.026401,-0.003494,-0.000000,0.005571,-0.002861,0.000929,-0.043969,0.000010,-0.011750,-0.133955,0.049910,0.050170,0.005260,-0.009314,0.009529,-0.016654,0.011171,0.010719,0.014053,0.011395,-0.016443,0.001913,-0.000034,-0.000084,-0.002801,0.000110,0.001734,-0.000089,0.005716,-0.000220,-0.000079,0.000147,-0.000392,0.000034,0.000803,0.039922,0.013613,0.197190,0.046948,0.018818,0.348700,0.004508,0.117391,1.928806,0.875090,0.458538,0.276206,0.224474,0.191557,0.201957,0.220319,0.232286,0.242532,0.200309,0.203884,0.133440,0.004835,0.002658,0.029949,0.004408,0.010387,0.002504,0.030367,0.004808,0.015312,0.009534,0.012232,0.001462,0.011825,0.035036,0.005941,0.190472,0.039554,0.016274,0.364969,0.005971,0.108575,1.535814,0.614583,0.431297,0.381290,0.245576,0.242316,0.213785,0.225604,0.266000,0.281244,0.230467,0.195687,0.181015,0.005761,0.003140,0.037690,0.006305,0.013648,0.003375,0.045533,0.005134,0.015133,0.010589,0.017632,0.001842,0.013622,screams
0.220380,0.026026,3.160372,0.332218,0.226906,1.875942,0.007953,0.382604,-27.630908,-1.047659,-0.766526,0.026400,0.041397,0.244096,0.211552,0.120510,-0.277417,-0.102365,0.294425,0.200931,-0.177069,0.009523,0.003622,0.034034,0.003903,0.007267,0.005651,0.022138,0.003981,0.005538,0.002946,0.008605,0.006959,0.016583,-0.000021,-0.000141,0.004381,0.000396,0.001085,-0.002000,0.000243,-0.002083,-0.044488,0.020348,0.019899,0.010283,0.001306,-0.008644,-0.007768,-0.016661,0.010192,0.004821,-0.001200,0.004633,0.011034,-0.000011,0.000016,-0.005746,0.000076,0.000294,-0.000094,0.006075,0.000006,0.000009,-0.000098,0.000794,-0.000056,-0.000412,0.067253,0.017917,0.305972,0.041857,0.025614,0.503855,0.006638,0.123009,2.981761,1.305023,0.700244,0.375553,0.302185,0.284288,0.280863,0.445625,0.426079,0.395511,0.358525,0.319285,0.261369,0.018685,0.004250,0.066749,0.004945,0.007407,0.008442,0.033940,0.006162,0.009129,0.003636,0.010235,0.012306,0.018823,0.048532,0.012755,0.326646,0.043428,0.015110,0.498813,0.009257,0.138302,1.841365,0.795267,0.588106,0.439156,0.334028,0.355521,0.296242,0.381354,0.295548,0.334364,0.310723,0.224392,0.248491,0.022807,0.005313,0.066658,0.007362,0.009856,0.009281,0.032225,0.008187,0.009502,0.004945,0.010426,0.016908,0.018040,screams
0.085816,0.057112,3.060052,0.191410,0.224864,0.627645,0.007439,0.081375,-30.403156,1.393601,-1.295134,0.210941,0.338649,-0.106841,-0.032977,-0.147274,0.077010,0.051746,0.156505,0.012277,-0.029671,0.005695,0.003647,0.019189,0.007010,0.013059,0.002084,0.029352,0.001997,0.002808,0.022401,0.074461,0.004517,0.027796,0.000292,-0.000000,0.008087,0.005613,0.003823,0.006160,-0.000300,-0.002542,-0.066155,-0.088737,0.008749,0.043301,0.014722,0.010993,0.014145,-0.004319,-0.015667,-0.000973,0.009278,0.001537,0.007609,-0.000099,-0.000130,-0.001878,-0.000162,-0.000549,-0.000288,0.001909,-0.000113,0.000004,-0.000755,0.001353,-0.000208,0.000246,0.019905,0.040650,0.232619,0.029133,0.018458,0.241530,0.004388,0.028121,3.270503,0.785068,0.834435,0.246600,0.335008,0.321652,0.251818,0.193328,0.233846,0.235652,0.233076,0.223480,0.184277,0.005993,0.005028,0.013505,0.008164,0.012625,0.002778,0.017370,0.002367,0.003357,0.023137,0.031947,0.005836,0.008953,0.014421,0.017270,0.270918,0.023047,0.014052,0.148458,0.006329,0.020662,1.349578,0.588298,0.455695,0.302468,0.308632,0.371592,0.291914,0.202306,0.269266,0.258070,0.264841,0.253614,0.197990,0.007634,0.007396,0.014682,0.009750,0.014314,0.003598,0.019294,0.002358,0.003760,0.025936,0.029068,0.006811,0.008450,screams
0.231567,0.079095,3.177156,0.333221,0.221518,1.151781,0.008785,0.304986,-31.225211,-1.148424,0.236793,0.632484,-0.534211,0.614200,-0.239554,0.097427,0.136026,-0.268093,0.331006,-0.054587,0.002922,0.005684,0.003437,0.033620,0.005846,0.004297,0.002409,0.041584,0.000948,0.001692,0.003094,0.011508,0.002012,0.017190,0.013357,0.000000,0.013219,0.009112,-0.000534,0.097894,-0.000030,0.019556,0.204967,-0.125672,-0.002628,-0.024072,0.013974,-0.008452,-0.003374,-0.026461,0.003811,-0.007226,0.024836,0.001907,0.001975,-0.000429,0.000116,-0.002090,-0.000001,-0.001169,-0.000274,-0.008170,-0.000005,-0.000160,-0.000209,-0.001432,-0.000126,-0.002457,0.075310,0.046228,0.173201,0.059754,0.018980,0.634038,0.005535,0.114621,3.656608,1.409027,0.574154,0.416822,0.359532,0.443416,0.317694,0.264974,0.236428,0.295927,0.239069,0.167599,0.174046,0.005138,0.003701,0.041156,0.004911,0.005494,0.002427,0.054701,0.000994,0.001440,0.004009,0.016493,0.002164,0.016745,0.056702,0.019975,0.170528,0.041792,0.018378,0.563089,0.008044,0.111190,2.497609,1.207902,0.540157,0.466677,0.284461,0.358158,0.332183,0.325303,0.301335,0.369595,0.229326,0.174086,0.228018,0.008109,0.005199,0.057386,0.005920,0.005136,0.003252,0.048692,0.001236,0.002009,0.004190,0.016849,0.003755,0.012749,screams
0.196134,0.093190,3.098562,0.315942,0.213948,0.720462,0.012431,0.259965,-29.300669,-1.270790,-0.063428,0.784959,-0.666864,0.541301,-0.399344,-0.021481,0.361206,-0.340583,0.249178,0.036176,-0.063407,0.010609,0.007125,0.036220,0.005327,0.003753,0.002682,0.038592,0.000451,0.001329,0.002166,0.008045,0.009151,0.021368,-0.002677,-0.000025,0.032091,-0.003514,0.003383,-0.027764,-0.000008,-0.009597,-0.291571,0.088019,0.047947,0.008327,0.012571,0.025790,0.002031,0.006476,-0.004935,0.010799,0.005739,0.002778,-0.009936,-0.000198,-0.000250,0.003010,-0.000067,0.000118,-0.000137,0.006225,-0.000032,-0.000026,0.000206,0.001087,-0.000102,0.001745,0.021739,0.031549,0.205367,0.027115,0.017479,0.329668,0.007318,0.068738,1.832069,0.720235,0.469445,0.296631,0.263572,0.381716,0.328076,0.295840,0.243508,0.243345,0.219711,0.151559,0.138013,0.013086,0.014386,0.030014,0.010576,0.003087,0.004372,0.016645,0.000771,0.002281,0.002285,0.006660,0.013278,0.012593,0.019064,0.024632,0.222067,0.024412,0.014856,0.217346,0.009617,0.058690,1.866225,0.961980,0.338175,0.293913,0.239847,0.299914,0.275788,0.281713,0.244773,0.244513,0.216434,0.168964,0.148984,0.016955,0.019031,0.035027,0.010157,0.004580,0.004063,0.014591,0.000931,0.003032,0.003161,0.007369,0.016046,0.012248,screams
0.313267,0.051651,3.215335,0.383356,0.226236,2.218732,0.003457,0.517083,-30.597928,-1.723881,-0.389158,0.267043,-0.346964,0.234992,0.042861,0.131600,0.185759,-0.285932,0.212263,0.131415,0.088765,0.003634,0.006849,0.013968,0.008565,0.002847,0.002011,0.003406,0.003863,0.003021,0.002276,0.003720,0.003981,0.005326,-0.021214,0.000000,-0.005111,-0.013333,0.009756,0.089808,0.000127,-0.001792,0.697024,0.278634,-0.086780,-0.038398,-0.025916,0.108069,0.179245,0.091267,0.015110,0.088922,0.121129,0.095933,0.133326,-0.000050,0.000329,0.006947,0.004702,0.000106,-0.000015,0.001340,0.001912,0.000868,-0.000261,0.000178,0.000605,0.001765,0.039956,0.032293,0.187286,0.028172,0.013754,0.311604,0.001145,0.069847,3.549415,0.823946,0.272499,0.385881,0.181271,0.121179,0.176484,0.170489,0.197205,0.184212,0.144052,0.153045,0.130260,0.002931,0.004338,0.007530,0.005250,0.002825,0.001676,0.001323,0.002364,0.001987,0.001774,0.001850,0.003102,0.002079,0.023776,0.014643,0.221618,0.019057,0.011510,0.217895,0.001016,0.053486,1.554463,0.675394,0.260471,0.219484,0.226387,0.141877,0.177715,0.198375,0.203030,0.208902,0.160723,0.202685,0.151110,0.003940,0.006414,0.009587,0.005947,0.002582,0.001716,0.001580,0.003309,0.002061,0.002572,0.002236,0.004347,0.002796,screams
0.187878,0.029399,3.204792,0.282254,0.190326,1.120534,0.011853,0.293607,-28.200690,-1.718003,-1.333414,0.473857,0.007510,-0.596932,0.075921,-0.128332,-0.381722,0.071492,-0.105253,0.275533,0.217565,0.003159,0.003179,0.007290,0.019883,0.001606,0.003885,0.008041,0.009633,0.002557,0.001555,0.006250,0.002636,0.011758,0.000849,-0.000027,-0.014319,0.001175,0.001400,0.014375,0.000167,0.000893,0.371107,0.016160,-0.014102,-0.004737,-0.002786,0.012355,-0.004576,-0.010201,0.000805,-0.010312,-0.008231,0.002129,-0.000042,0.000177,0.000036,0.000209,-0.000762,0.000184,0.000108,0.000055,0.000034,0.000032,0.000094,-0.000866,0.000185,-0.000449,0.033933,0.014839,0.106301,0.030648,0.020623,0.353690,0.029817,0.073295,4.491598,0.610238,0.389045,0.342382,0.258326,0.282747,0.245636,0.323770,0.311837,0.272635,0.262361,0.209518,0.185408,0.004483,0.003764,0.013679,0.025172,0.002421,0.005335,0.007938,0.013136,0.002612,0.001394,0.010530,0.003039,0.010212,0.033771,0.011133,0.110453,0.027915,0.017993,0.351382,0.042773,0.072338,2.203588,0.584402,0.399816,0.359674,0.295412,0.321480,0.271103,0.331964,0.315285,0.269933,0.270156,0.227726,0.211122,0.004426,0.004793,0.017213,0.018842,0.003034,0.006340,0.009133,0.013021,0.003316,0.001838,0.005549,0.003469,0.009968,screams
0.090384,0.013132,3.098275,0.175532,0.189444,0.761022,0.014173,0.116811,-31.818653,1.447020,-1.126896,-0.126073,0.452394,-0.146483,0.189769,0.128298,-0.262151,0.098636,-0.061390,0.060248,-0.094247,0.009649,0.004842,0.028367,0.010592,0.013245,0.011332,0.061443,0.007947,0.008564,0.007820,0.032769,0.007105,0.028472,0.000079,-0.000000,0.000080,0.000129,0.000080,0.000141,0.000058,-0.000001,0.001354,-0.001507,-0.001825,-0.002518,-0.000489,0.002282,0.000650,-0.000086,0.001060,0.001789,0.000191,0.000347,-0.001594,-0.000005,-0.000002,-0.000044,-0.000008,-0.000011,-0.000004,-0.000915,0.000008,-0.000001,-0.000006,0.000369,0.000000,-0.000151,0.021573,0.009371,0.118940,0.021964,0.017918,0.252038,0.009501,0.036565,1.676804,0.504976,0.307583,0.293932,0.233796,0.186748,0.193723,0.228028,0.266986,0.201758,0.209698,0.202664,0.173053,0.011276,0.006842,0.027625,0.010603,0.014572,0.013350,0.050269,0.009512,0.011750,0.008595,0.022914,0.012128,0.012893,0.019669,0.004786,0.155266,0.022330,0.019070,0.240527,0.010438,0.034346,0.494134,0.367043,0.266056,0.244929,0.260774,0.233022,0.216677,0.214182,0.220792,0.186689,0.208767,0.195840,0.171560,0.011823,0.007954,0.036705,0.012604,0.015686,0.016265,0.065215,0.012048,0.013435,0.010785,0.029430,0.018115,0.016163,screams
0.120006,0.017395,3.123224,0.183667,0.147473,1.016940,0.050882,0.183760,-39.537991,-0.471322,-1.478584,0.191934,-0.145197,0.008769,-0.092394,-0.144039,-0.052697,0.180345,-0.198111,0.165444,-0.180418,0.009902,0.004433,0.013393,0.003423,0.004016,0.006230,0.024631,0.009219,0.005718,0.006835,0.044955,0.003642,0.021911,-0.002466,-0.000512,0.001183,-0.001980,-0.000320,-0.013777,0.000185,-0.002993,-0.166033,0.025214,0.004625,0.009043,-0.004093,0.001964,0.009781,0.001112,0.000787,-0.006946,-0.003708,0.001926,-0.003947,-0.000036,-0.000003,0.000580,-0.000017,-0.000377,-0.000109,0.005342,-0.000336,-0.000186,-0.000095,0.000300,-0.000159,0.001345,0.061985,0.019075,0.251244,0.070139,0.056931,0.590509,0.165515,0.098023,19.691199,1.206811,0.769115,0.420549,0.295816,0.362746,0.262938,0.348139,0.252988,0.245305,0.328778,0.271986,0.217985,0.013534,0.005702,0.018467,0.005549,0.006879,0.007171,0.055272,0.011026,0.006441,0.007054,0.044783,0.003536,0.019938,0.032944,0.011946,0.290303,0.039780,0.046712,0.327720,0.241140,0.060429,11.976246,0.861699,0.495003,0.378546,0.290698,0.279022,0.272757,0.276065,0.238010,0.253507,0.325744,0.284941,0.240981,0.013234,0.007003,0.021482,0.007134,0.008793,0.009319,0.061922,0.015027,0.007004,0.008662,0.033057,0.003541,0.016757,screams
0.148537,0.008008,2.999744,0.212888,0.161133,1.078692,0.029756,0.230734,-45.976394,0.240024,-0.552206,-0.063432,-0.226067,0.044496,-0.207618,-0.032966,-0.011203,0.010766,-0.243568,-0.031246,-0.307523,0.028168,0.007966,0.012172,0.006683,0.005192,0.003182,0.009555,0.010539,0.002990,0.005835,0.046193,0.007394,0.022751,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.116931,0.011412,0.403623,0.107758,0.050726,0.535193,0.085292,0.168181,12.714789,1.021951,0.674925,0.502318,0.395625,0.288605,0.323287,0.234947,0.209405,0.230320,0.242548,0.178526,0.232053,0.027736,0.011252,0.013365,0.008485,0.007609,0.003765,0.011121,0.011873,0.003243,0.008958,0.031251,0.010045,0.011581,0.092368,0.007707,0.554613,0.083591,0.045027,0.447064,0.124812,0.141123,6.496797,0.881002,0.589375,0.465058,0.386327,0.311228,0.315094,0.262035,0.255704,0.267007,0.267168,0.219143,0.249327,0.030312,0.013432,0.017422,0.010283,0.009318,0.004934,0.014007,0.011887,0.003842,0.011214,0.020621,0.012634,0.009941,screams
